content,style,IP,total,S,C,E,H
55213,image_024,0.9985206,[0.7998376],0.9986805879178433,0.8827187841962473,0.0,[0.7136328]
55213,flipped_image_053,0.20309648,[0.41734594],0.20881337713346396,0.9373574348953779,0.0,[0.63464063]
55213,image_136,0.188891,[0.5461703],0.19478414928762475,0.929025849749738,0.8921196070197939,[0.72505003]
55213,image_053,0.18837063,[0.41008893],0.1942639345475997,0.937409700564096,0.0,[0.6346808]
55213,image_049,0.18264003,[0.38083872],0.18857460010857025,0.9430790801758118,-0.24029586945616574,[0.7934413]
55232,flipped_image_058,0.9975569,[0.82889426],0.9978012453846972,0.9741765394669728,0.0,[0.7548133]
55232,image_074,0.20216703,[0.40913558],0.20905993834163278,0.8596574723189415,0.009046144217299911,[0.907029]
55232,flipped_image_101,0.20134628,[0.42835256],0.20824503372799993,0.9348460786171818,0.0,[0.8755242]
55232,flipped_image_113,0.18998176,[0.42538196],0.19677751642687935,0.9868008510279566,0.0,[0.6190585]
55232,flipped_image_028,0.18945095,[0.439591],0.19622123266774572,0.879673016704673,0.29388932223979813,[0.66990113]
55300,image_006,0.19345261,[0.5306331],0.19821798963540999,0.8605388841279823,0.8820075010515547,[0.82122624]
55300,image_070,0.18545397,[0.5409667],0.19022799797910278,0.9417914333226751,0.7684088427412659,[0.96107864]
55300,image_104,0.18498082,[0.29665953],0.18979957177110085,0.8123586777666705,-0.5672108447710937,[0.8626756]
55300,image_095,0.1834557,[0.5254145],0.18837462035852998,0.8573774791437775,0.8503635984250224,[0.9291886]
55300,flipped_image_066,0.18241264,[0.5386034],0.18720509058584633,0.8724064299927865,0.8977926324396031,[0.9722013]
55070,image_043,0.19370732,[0.4002214],0.19815574289538812,0.8924478986769134,0.0,[0.66818345]
55070,flipped_image_038,0.19317108,[0.5292921],0.1975808053653378,0.9338101976859373,0.7464583755348387,[0.7677976]
55070,image_093,0.18041466,[0.5615327],0.18490748425052816,0.9229118830432429,0.952472634893147,[0.98668885]
55070,image_018,0.17865224,[0.25594962],0.18314076586309533,0.8677193594272881,-0.8838322995185577,[0.7327656]
55070,image_122,0.17864025,[0.4172336],0.18312922587531902,0.9325898281972802,0.0,[0.91784066]
55038,image_018,0.9992849,[0.8370149],0.9994659540491023,0.8721529196673281,0.20138090974391715,[0.9085787]
55038,flipped_image_148,0.20142688,[0.43250722],0.20772500853448672,0.9351032004463081,0.0,[0.96227545]
55038,flipped_image_047,0.19002405,[0.39704776],0.19638962699631116,0.9204067277725572,0.0,[0.45461804]
55038,flipped_image_052,0.18832926,[0.534782],0.19474389022423796,0.9335633946277512,0.8134776464867806,[0.7063873]
55038,image_009,0.18187457,[0.49011645],0.18827752634123673,0.9320455333506609,0.5699732760783168,[0.6173604]
55030,image_003,0.18501109,[0.44893008],0.1931740975132498,0.9141854382541973,0.22721759263745753,[0.88009554]
55030,image_113,0.17902951,[0.3979895],0.18716717449314232,0.9017887678289208,0.0,[0.67738616]
55030,image_032,0.1776621,[0.33845302],0.1858156183809502,0.9045837377774643,-0.3289698296407413,[0.47031164]
55030,flipped_image_121,0.17517905,[0.38528457],0.18334564659050825,0.8949423383140079,0.0,[0.502581]
55030,flipped_image_084,0.17503157,[0.39527038],0.18320968766047735,0.9195438381446441,0.0,[0.5560478]
55241,image_121,0.18514496,[0.39531106],0.19289409924108866,0.9297676278600604,0.0,[0.39867473]
55241,image_090,0.18349802,[0.31946707],0.19114881353624805,0.9508211686426252,-0.7138146359482098,[0.9143701]
55241,image_042,0.18166801,[0.45311686],0.18957782950990146,0.9064552360977177,0.46305760772181687,[0.33865446]
55241,image_087,0.17904012,[0.4084148],0.18687002366727237,0.9646050696366749,0.0,[0.5119655]
55241,flipped_image_138,0.1790339,[0.42323017],0.18667261679272115,0.9587819366153773,0.0,[0.8451856]
55164,image_073,0.20145842,[0.45217904],0.20757449716264448,0.8482618369516874,0.37128242681382845,[0.76441765]
55164,image_062,0.18717849,[0.4894405],0.19335606097928168,0.9861001921656856,0.4122436368408807,[0.70191765]
55164,flipped_image_012,0.1798164,[0.3726683],0.18623774599888127,0.9696152345676382,-0.32112971198767026,[0.73668575]
55164,image_059,0.17799354,[0.37387586],0.18458285977973607,0.9513432802096253,-0.29220097176823845,[0.8002318]
55164,image_002,0.17791188,[0.5022962],0.1845019156284376,0.9857101789542991,0.47349398343173704,[0.86616236]
55043,flipped_image_084,0.1845351,[0.42091206],0.18989127977348882,0.9564964107205164,0.0,[0.7803502]
55043,image_014,0.18094766,[0.47104025],0.18626335548709783,0.8914949308481499,0.5130151597609248,[0.67015636]
55043,flipped_image_040,0.18082887,[0.47159198],0.18621592361199144,0.9169179888475427,0.3674780330565641,[0.9657385]
55043,flipped_image_090,0.17996496,[0.33448032],0.18544422483866965,0.9460845859285517,-0.5328117295713984,[0.7570914]
55043,flipped_image_095,0.17717972,[0.32460997],0.18264639535707494,0.883227695533774,-0.5314230555496269,[0.9606386]
56924,image_092,0.18537408,[0.44038585],0.19171357855453322,0.8750486391810472,0.22599483704766413,[0.9623052]
56924,flipped_image_013,0.18469754,[0.2729062],0.1910727206090739,0.8890085067323521,-0.9001919225001733,[0.9139219]
56924,image_020,0.18266971,[0.34295654],0.1889354764159891,0.8906014359328932,-0.4427476749783927,[0.9544106]
56924,flipped_image_042,0.18026254,[0.37926006],0.18660961615189398,0.8749044477526831,0.0,[0.46967846]
56924,image_004,0.17973232,[0.4985292],0.1860836458880945,0.9474303334278964,0.540851652792427,[0.8026108]
56454,flipped_image_126,0.18895504,[0.4322354],0.198294801412657,0.9526197141130626,0.0,[0.94604135]
56454,flipped_image_048,0.1829793,[0.3917021],0.19246574614241935,0.8787687618790072,0.0,[0.6367719]
56454,flipped_image_110,0.1792172,[0.41367376],0.1888262695606199,0.8978734466140088,0.0,[0.9979722]
56454,flipped_image_061,0.17762071,[0.34754708],0.18713519715660443,0.8921872835995938,-0.3990025546767098,[0.9234741]
56454,flipped_image_058,0.17580363,[0.41155496],0.18541495944600844,0.9081336607874313,0.0,[0.9281472]
55531,image_061,0.18250427,[0.43149674],0.19055793087475764,0.8768771972740527,0.21114778708357446,[0.8296487]
55531,image_029,0.17993726,[0.49797398],0.18788810269340228,0.969351746058337,0.5046571298165942,[0.7505164]
55531,image_121,0.17781381,[0.3681706],0.18591652692623292,0.8556250602024619,0.0,[0.37049568]
55531,image_139,0.17758968,[0.45344815],0.18558078217317195,0.9546402058255311,0.3491239121606133,[0.4379419]
