content,style,IP,total,S,C,E,H
55213,flipped_image_070,0.18945559859275818,0.3516562879085541,0.19526657612549825,0.8727006403616274,-0.5222092207228062,[0.7124275]
55213,56984,0.18834052979946136,0.3717184066772461,0.19405404403595525,0.9454753523817954,0.8913024965757036,[0.9210614]
55213,image_091,0.18677151203155518,0.35918912291526794,0.19259153327409811,0.8956446147956151,-0.8122035373990217,[0.9188402]
55213,image_147,0.1863718330860138,0.3716484308242798,0.19218407847186178,0.953537473734661,0.0,[0.89029884]
55213,flipped_image_036,0.18527907133102417,0.34243330359458923,0.19113015377360218,0.8378841186421203,0.2595531256411775,[0.79644156]
55232,flipped_image_150,0.9969953894615173,0.9302021861076355,0.9972408193974645,0.9528772015000049,0.0,[0.64859325]
55232,flipped_image_093,0.20134977996349335,0.37497392296791077,0.20804453894853406,0.9343388695451215,-0.500820944920844,[0.7222401]
55232,image_129,0.18672937154769897,0.3487374484539032,0.19355015893871252,0.8646990107718162,0.0,[0.7185783]
55232,image_052,0.18595680594444275,0.36206507682800293,0.19275518186112967,0.9338805317022935,-0.9997569618281423,[0.6171959]
55232,56691,0.18354028463363647,0.3643563687801361,0.1903331497187259,0.9194099694811301,-0.9997253284166521,[0.9829428]
55300,55066,0.18882456421852112,0.3700578510761261,0.19362862213805412,0.958131845728456,0.9706555221718889,[0.70737505]
55300,flipped_image_026,0.18850484490394592,0.3676871657371521,0.19325201638661157,0.9559090668320962,0.41018169470698645,[0.6275833]
55300,flipped_image_107,0.1831311583518982,0.3531166613101959,0.18794606278676607,0.8803387402952666,0.9997011033139229,[0.9538247]
55300,flipped_image_013,0.179982990026474,0.3628496527671814,0.18488705886019513,0.947259554126375,-0.9775409587024625,[0.7779515]
55300,image_073,0.1794786900281906,0.33494412899017334,0.1843259571652335,0.8168973980310139,0.8549801784728708,[0.9014783]
55070,image_023,0.19382858276367188,0.35488879680633545,0.1981853967378108,0.8648312155337536,0.0,[0.862392]
55070,image_116,0.19367626309394836,0.36005306243896484,0.19805322103149806,0.8876745165365028,-0.8714870886510291,[0.8625332]
